综合,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
中央1台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
中央2台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
中央3台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
中央4台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
中央5台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
中央5台备用,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
中央5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
中央6台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225814/1.m3u8
中央7台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
中央8台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://117.148.179.160:80/PLTV/88888888/224/3221231694/index.m3u8
中央9台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
中央10台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
中央11台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
中央12台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
中央13台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
中央14台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
中央15台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
中央16台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
中央17台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
梨园频道,http://121.24.99.168:8090/hls/45/index.m3u8
巴黎奥运开幕式,https://res.cctvnews.cctv.com/video/3005/record/cctv/merge12/126662925810848154051013005/aa9f232ba4be4c49921baae0c27194dd-4.m3u8
浙江钱江频道,http://ali-vl.cztv.com/channels/lantian/channel002/360p.m3u8?a=1000&d=22d8a6e04d1f85b5bdb27400660f8dd6&k=90b52ec084703724ecb442aa04461d8c&t=1703786501
浙江经济生活,http://ali-vl.cztv.com/channels/lantian/channel003/360p.m3u8?a=1000&d=22d8a6e04d1f85b5bdb27400660f8dd6&k=ec8df4397e8f819213aa54d38b7d4564&t=1703786638
浙江教科影视,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江公共新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/360p.m3u8
浙江少儿频道,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
东森电影,http://1b6467f415.iok.la:9931/tsfile/live/1043_1.m3u8
 半岛综合,http://live-hls-web-aje.getaj.net/AJE/01.m3u8 
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
